06.11.2011;6,512;6,512;6,512;6,512;2,31%
30.10.2011;6,365;6,365;6,365;6,365;5,75%
23.10.2011;6,019;6,019;6,019;6,019;2,17%
16.10.2011;5,891;5,891;5,891;5,891;1,59%
09.10.2011;5,799;5,799;5,799;5,799;4,83%
02.10.2011;5,532;5,532;5,532;5,532;-0,32%
25.09.2011;5,550;5,550;5,550;5,550;-1,25%
18.09.2011;5,620;5,620;5,620;5,620;1,72%
11.09.2011;5,525;5,525;5,525;5,525;2,20%
04.09.2011;5,406;5,406;5,406;5,406;2,35%
28.08.2011;5,282;5,282;5,282;5,282;4,18%
21.08.2011;5,070;5,070;5,070;5,070;2,59%
14.08.2011;4,942;4,942;4,942;4,942;-1,79%
07.08.2011;5,032;5,032;5,032;5,032;-18,34%
31.07.2011;6,162;6,162;6,162;6,162;4,64%
24.07.2011;5,889;5,889;5,889;5,889;8,97%
17.07.2011;5,404;5,404;5,404;5,404;-6,76%
10.07.2011;5,796;5,796;5,796;5,796;9,94%
03.07.2011;5,272;5,272;5,272;5,272;8,21%
26.06.2011;4,872;4,872;4,872;4,872;-2,29%
19.06.2011;4,986;4,986;4,986;4,986;3,38%
12.06.2011;4,823;4,823;4,823;4,823;0,46%
05.06.2011;4,801;4,801;4,801;4,801;3,67%
29.05.2011;4,631;4,631;4,631;4,631;-2,67%
22.05.2011;4,758;4,758;4,758;4,758;-0,42%
15.05.2011;4,778;4,778;4,778;4,778;1,08%
08.05.2011;4,727;4,727;4,727;4,727;-0,92%
01.05.2011;4,771;4,771;4,771;4,771;0,57%
24.04.2011;4,744;4,744;4,744;4,744;-0,50%
17.04.2011;4,768;4,768;4,768;4,768;0,72%
10.04.2011;4,734;4,734;4,734;4,734;-0,46%
03.04.2011;4,756;4,756;4,756;4,756;-1,29%
27.03.2011;4,818;4,818;4,818;4,818;1,45%
20.03.2011;4,749;4,749;4,749;4,749;1,47%
13.03.2011;4,680;4,680;4,680;4,680;-3,88%
06.03.2011;4,869;4,869;4,869;4,869;-0,37%
27.02.2011;4,887;4,887;4,887;4,887;0,76%
20.02.2011;4,850;4,850;4,850;4,850;1,25%
13.02.2011;4,790;4,790;4,790;4,790;0,25%
06.02.2011;4,778;4,778;4,778;4,778;3,29%
30.01.2011;4,626;4,626;4,626;4,626;-3,24%
23.01.2011;4,781;4,781;4,781;4,781;1,94%
16.01.2011;4,690;4,690;4,690;4,690;0,62%
09.01.2011;4,661;4,661;4,661;4,661;-2,57%
02.01.2011;4,784;4,784;4,784;4,784;-1,16%
26.12.2010;4,840;4,840;4,840;4,840;2,76%
19.12.2010;4,710;4,710;4,710;4,710;2,79%
